"Data file recorded 2020/11/2  21:18:14"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 26.000,  2.756,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -7.000, 80.000, 81.000, 16.000, 10.000, 79.000, 33.100,  0.000,-17.000,  9.000,-983.000
 27.000,  2.858,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -7.000, 80.000, 81.000, 25.000, 20.000, 79.000, 33.170,  1.000,  5.000,-20.000,-1025.000
 28.000,  2.960,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -7.000, 80.000, 81.000, 30.000, 30.000, 79.000, 33.310,  1.000,-18.000, 48.000,-930.000
 29.000,  3.062,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -6.000, 80.000, 81.000, 39.000, 30.000, 79.000, 33.380,  1.000,-15.000, -8.000,-962.000
 30.000,  3.113,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -6.000, 80.000, 81.000, 46.000, 40.000, 79.000, 33.450,  1.000,-14.000, 21.000,-872.000
 31.000,  3.215,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -4.000, 80.000, 81.000, 51.000, 40.000, 79.000, 33.470,  1.000,-20.000, 48.000,-919.000
 32.000,  3.317,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -3.000, 80.000, 81.000, 56.000, 40.000, 79.000, 33.560,  1.000,  3.000, -8.000,-928.000
 33.000,  3.419,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -2.000, 80.000, 81.000, 60.000, 50.000, 79.000, 33.630,  1.000, -3.000,-16.000,-962.000
 34.000,  3.522,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -2.000, 80.000, 81.000, 64.000, 50.000, 79.000, 33.630,  1.000, 12.000,-10.000,-903.000
 35.000,  3.623,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -1.000, 80.000, 81.000, 66.000, 50.000, 79.000, 33.670,  1.000, 13.000,-10.000,-960.000
