"Data file recorded 2020/11/3  0:32:33"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 26.000,  2.628,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -7.000, 75.000, 78.000, 39.000, 30.000, 33.000, 36.860,  1.000,-19.000, 11.000,-957.000
 27.000,  2.730,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -6.000, 75.000, 78.000, 47.000, 40.000, 33.000, 36.900,  1.000, 19.000,-26.000,-916.000
 28.000,  2.832,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -5.000, 75.000, 78.000, 54.000, 50.000, 33.000, 36.920,  1.000, 11.000,-25.000,-888.000
 29.000,  2.884,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -4.000, 75.000, 78.000, 60.000, 50.000, 33.000, 37.060,  1.000,-24.000, 46.000,-889.000
 30.000,  2.985,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -3.000, 75.000, 78.000, 65.000, 60.000, 33.000, 37.050,  1.000, -8.000,  0.000,-902.000
 31.000,  3.087,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -2.000, 75.000, 78.000, 68.000, 60.000, 33.000, 37.150,  1.000, 27.000,-31.000,-897.000
 32.000,  3.189,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -1.000, 75.000, 78.000, 72.000, 60.000, 33.000, 37.110,  1.000, -9.000,  9.000,-900.000
 33.000,  3.290,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000, -1.000, 75.000, 78.000, 74.000, 60.000, 33.000, 37.130,  1.000,  0.000,  1.000,-975.000
 34.000,  3.394,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 74.000, 60.000, 33.000, 37.200,  2.000, 21.000,-48.000,-966.000
 35.000,  3.495,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 75.000, 60.000, 33.000, 37.130,  2.000,-23.000, 29.000,-945.000
 36.000,  3.597,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 77.000, 60.000, 33.000, 37.210,  2.000,  9.000, -8.000,-1012.000
 37.000,  3.699,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 77.000, 70.000, 33.000, 37.160,  2.000,-16.000, 23.000,-980.000
 38.000,  3.801,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 77.000, 70.000, 33.000, 37.160,  2.000, -2.000,  3.000,-1055.000
 39.000,  3.903,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 78.000, 70.000, 33.000, 37.110,  2.000,  0.000,  8.000,-989.000
 40.000,  4.005,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 78.000, 70.000, 33.000, 37.160,  2.000,  2.000, -7.000,-1021.000
 41.000,  4.107,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 80.000, 70.000, 33.000, 37.130,  2.000, 17.000,-50.000,-967.000
 42.000,  4.209,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 81.000, 70.000, 33.000, 37.240,  2.000, 15.000, -2.000,-1022.000
 43.000,  4.310,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,  0.000,  0.000, 75.000, 78.000, 81.000, 70.000, 33.000, 37.260,  2.000,-11.000,  2.000,-984.000
