"Data file recorded 2020/10/28  11:29:58"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 26.000,  2.732,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-999.000
 27.000,  2.834,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  9.000, 16.000,-1001.000
 28.000,  2.936,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  8.000, 15.000,-998.000
 29.000,  3.038,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.800,  0.000,  9.000, 16.000,-999.000
 30.000,  3.140,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  9.000, 15.000,-1002.000
 31.000,  3.242,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.790,  0.000,  7.000, 16.000,-1000.000
 32.000,  3.344,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.770,  0.000,  8.000, 15.000,-1000.000
 33.000,  3.450,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.780,  0.000,  8.000, 15.000,-1003.000
 34.000,  3.548,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-998.000
 35.000,  3.650,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.870,  0.000,  7.000, 15.000,-999.000
 36.000,  3.752,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.860,  0.000, 10.000, 16.000,-999.000
 37.000,  3.856,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.810,  0.000, 10.000, 16.000,-1001.000
 38.000,  3.956,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.830,  0.000,  8.000, 14.000,-1000.000
 39.000,  4.062,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.850,  0.000,  9.000, 15.000,-998.000
 40.000,  4.162,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.780,  0.000, 11.000, 15.000,-1000.000
 41.000,  4.212,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.790,  0.000,  8.000, 16.000,-998.000
 42.000,  4.314,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.840,  0.000,  9.000, 17.000,-999.000
 43.000,  4.416,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 59.000, 10.000,  0.000,100.000, 19.780,  0.000,  9.000, 16.000,-1001.000
 44.000,  4.518,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.780,  0.000,  9.000, 15.000,-999.000
 45.000,  4.619,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.800,  0.000, 11.000, 14.000,-998.000
 46.000,  4.722,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.770,  0.000,  7.000, 15.000,-998.000
 47.000,  4.830,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.800,  0.000,  8.000, 14.000,-998.000
 48.000,  4.926,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.790,  0.000,  8.000, 16.000,-998.000
 49.000,  5.028,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000, 10.000, 15.000,-996.000
 50.000,  5.129,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.790,  0.000,  9.000, 16.000,-1000.000
 51.000,  5.238,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-1000.000
 52.000,  5.333,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.870,  0.000,  9.000, 17.000,-1000.000
 53.000,  5.435,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 57.000, 60.000, 10.000,  0.000,100.000, 19.840,  0.000,  9.000, 16.000,-997.000
 54.000,  5.537,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000, 10.000, 15.000,-999.000
 55.000,  5.644,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  8.000, 16.000,-1000.000
 56.000,  5.741,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  8.000, 16.000,-998.000
 57.000,  5.843,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  8.000, 15.000,-998.000
 58.000,  5.946,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.790,  0.000, 10.000, 15.000,-997.000
 59.000,  6.052,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  8.000, 16.000,-998.000
 60.000,  6.150,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.890,  0.000,  7.000, 13.000,-1000.000
 61.000,  6.252,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000,  8.000, 15.000,-999.000
 62.000,  6.354,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.840,  0.000,  8.000, 16.000,-1001.000
 63.000,  6.456,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.860,  0.000,  8.000, 15.000,-998.000
 64.000,  6.559,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.890,  0.000,  9.000, 15.000,-1002.000
 65.000,  6.662,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.820,  0.000,  8.000, 14.000,-999.000
 66.000,  6.712,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.790,  0.000,  8.000, 15.000,-1001.000
 67.000,  6.813,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000,  9.000, 16.000,-1000.000
 68.000,  6.915,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.840,  0.000, 10.000, 15.000,-999.000
 69.000,  7.016,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.780,  0.000,  8.000, 15.000,-1000.000
 70.000,  7.118,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.780,  0.000,  8.000, 15.000,-998.000
 71.000,  7.221,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-1001.000
 72.000,  7.324,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.810,  0.000,  8.000, 16.000,-999.000
 73.000,  7.425,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 58.000, 60.000, 10.000,  0.000,100.000, 19.840,  0.000,  9.000, 14.000,-1000.000
 74.000,  7.527,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.880,  0.000,  8.000, 16.000,-1000.000
 75.000,  7.629,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000,  9.000, 15.000,-999.000
 76.000,  7.731,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.840,  0.000,  8.000, 16.000,-1000.000
 77.000,  7.833,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.770,  0.000,  8.000, 15.000,-1001.000
 78.000,  7.935,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.850,  0.000,  8.000, 14.000,-999.000
 79.000,  8.037,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-998.000
 80.000,  8.139,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.910,  0.000,  9.000, 15.000,-1001.000
 81.000,  8.240,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.830,  0.000,  9.000, 15.000,-998.000
 82.000,  8.346,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 59.000, 60.000, 10.000,  0.000,100.000, 19.870,  0.000,  8.000, 16.000,-1000.000
