"Data file recorded 2020/11/3  0:35:23"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
 26.000,  2.678,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 83.000, 85.000, 28.000, 10.000, 31.000, 36.180, 67.000,  1.000,-26.000,-1007.000
 27.000,  2.780,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 83.000, 85.000, 35.000, 10.000, 31.000, 36.200, 67.000,-28.000,  0.000,-1011.000
 28.000,  2.883,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -7.000, 82.000, 85.000, 44.000, 20.000, 31.000, 36.240, 67.000,-22.000,  7.000,-989.000
 29.000,  2.984,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -6.000, 82.000, 85.000, 52.000, 20.000, 31.000, 36.370, 67.000,  9.000,-16.000,-960.000
 30.000,  3.087,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -6.000, 82.000, 85.000, 59.000, 30.000, 31.000, 36.450, 67.000, 18.000,-34.000,-872.000
 31.000,  3.188,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -5.000, 82.000, 85.000, 66.000, 40.000, 31.000, 36.510, 67.000,  1.000,-32.000,-879.000
 32.000,  3.290,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -3.000, 82.000, 85.000, 70.000, 40.000, 31.000, 36.550, 67.000, -5.000,-11.000,-885.000
 33.000,  3.395,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -2.000, 82.000, 85.000, 73.000, 40.000, 31.000, 36.590, 67.000,-26.000, 38.000,-913.000
 34.000,  3.495,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -2.000, 82.000, 85.000, 77.000, 50.000, 31.000, 36.650, 67.000, 28.000,-34.000,-964.000
 35.000,  3.597,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000, -1.000, 82.000, 85.000, 79.000, 50.000, 31.000, 36.640, 67.000,-15.000,-19.000,-933.000
 36.000,  3.699,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000,  0.000, 82.000, 85.000, 82.000, 50.000, 31.000, 36.640, 68.000,  3.000,-30.000,-945.000
 37.000,  3.800,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 56.000,  0.000,  0.000,  0.000, 82.000, 85.000, 82.000, 50.000, 31.000, 36.710, 68.000, 15.000,-21.000,-997.000
